price,sector,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,has_servant_room,has_study_room,has_pooja_room,has_store_room,has_others,furnishing_type,luxury_score,super_built_up_area,built_up_area,carpet_area
0.45,Krishna Colony,5000.0,900.0,2,2,1,4.0,Relatively New,0,0,0,0,0,0,28,,,900.0
0.5,Ashok Vihar,7692.0,650.0,2,2,1,1.0,Old Property,0,0,0,0,0,1,37,,,650.0
0.4,Sohna,6722.0,595.0,2,2,3,12.0,New Property,0,0,0,0,0,0,36,,,595.0
1.47,Sector 61,12250.0,1200.0,2,2,2,2.0,Under Construction,0,1,0,0,0,0,76,,,1200.0
0.7,Sector 92,5204.0,1345.0,2,2,3,5.0,Under Construction,0,1,0,0,0,0,0,1345.0,1345.0,
0.41,Sector 36,6269.0,654.0,2,2,3,3.0,Undefined,0,0,0,0,0,0,0,,654.0,
2.0,Dwarka Expressway,13333.0,1500.0,3,3,3,5.0,New Property,0,0,0,0,0,0,0,1500.0,1500.0,
1.8,Sector 104,7860.0,2290.0,3,4,3,14.0,New Property,0,0,0,0,0,0,60,,,2290.0
1.1,Sector 88B,8148.0,1350.0,2,4,3+,2.0,Under Construction,0,1,0,0,0,0,58,,1350.0,1050.0
4.75,Sector 78,16885.0,2813.0,3,3,2,31.0,Under Construction,1,0,0,0,0,0,100,,2813.0,
0.96,Sector 81,9767.0,983.0,2,2,2,1.0,Under Construction,0,0,0,0,0,0,49,,,1075.0
0.29,Sohna,5587.0,519.0,2,2,1,4.0,Relatively New,0,0,0,0,0,0,44,,,519.0
1.35,Sector 79,6940.0,1945.0,3,3,3,4.0,Relatively New,0,0,0,0,0,0,0,,,1945.0
0.95,Sector 33,6859.0,1385.0,2,2,3+,3.0,Under Construction,0,0,0,0,0,0,0,1385.0,1385.0,
0.7,Sector 90,5384.0,1300.0,2,2,3,13.0,New Property,0,1,0,0,0,0,15,1300.0,1300.0,
3.95,Sector 108,16859.0,2343.0,4,5,3,25.0,Undefined,0,0,0,0,0,0,0,,2343.0,2300.0
0.9,Sector 62,14084.0,639.0,1,1,0,0.0,Undefined,0,0,0,0,0,0,0,,639.0,
1.05,Sector 102,11475.0,915.0,2,2,2,0.0,Under Construction,0,0,0,0,0,0,49,,,915.0
,Sector 93,,,2,2,3,11.0,Under Construction,0,0,0,0,0,0,104,,,577.11
2.2,Sector-33 Sohna,10476.0,2100.0,3,3,3,12.0,New Property,1,0,0,0,0,1,49,2100.0,2100.0,
1.01,Sector 89,9156.0,1103.0,2,2,2,4.0,Under Construction,0,1,0,0,0,0,38,,,1103.0
1.85,Sector 79,8604.0,2150.0,3,4,3+,11.0,New Property,1,0,0,0,0,0,49,2150.0,2150.0,
0.86,Sector 89,7796.0,1103.0,2,3,3,4.0,Under Construction,0,0,0,0,0,0,0,1103.0,1103.0,
1.85,Sector 102,9135.0,2025.0,3,3,3+,0.0,Relatively New,1,0,0,0,0,1,95,,,2025.0
2.85,Sector 113,12855.0,2217.0,3,3,3+,10.0,New Property,1,0,0,0,0,0,72,2217.0,2217.0,
0.42,Sector 36,7910.0,531.0,2,2,1,3.0,Undefined,0,0,0,0,0,0,0,,,531.0
6.15,Sector 65,18331.0,3355.0,3,4,2,20.0,Undefined,0,0,0,0,0,0,0,,3355.0,2200.0
6.25,Sector 48,24300.0,2572.0,3,5,3+,5.0,Moderately Old,1,0,0,0,0,1,49,,,2880.0
0.42,Sector 37C,5600.0,750.0,2,2,2,4.0,Relatively New,0,0,0,0,0,0,42,,,750.0
1.35,Sector 3,12784.0,1056.0,2,2,0,4.0,Undefined,0,0,0,0,0,0,0,,1056.0,912.0
1.6,New Palam Vihar,26936.0,594.0,2,2,2,1.0,Relatively New,0,0,0,0,0,0,0,,,66.0
3.25,Sector 43,10156.0,3200.0,4,4,3+,12.0,Moderately Old,0,0,1,0,0,1,119,3200.0,3200.0,3000.0
0.45,Sector 88A,7194.0,626.0,2,2,1,8.0,New Property,0,0,0,0,0,0,14,,,625.47
0.85,Sector 92,6538.0,1300.0,3,2,2,20.0,Undefined,0,0,0,0,0,0,0,,1300.0,
0.75,Sector 90,5769.0,1300.0,2,2,3,8.0,Undefined,0,0,0,0,0,0,0,,,1300.0
0.82,Sector 68,6950.0,1180.0,2,2,3+,21.0,Under Construction,0,0,0,0,1,0,72,1180.0,1180.0,
1.8,Sector 109,8866.0,2030.0,3,3,2,0.0,Moderately Old,1,0,0,0,0,0,83,2030.0,2030.0,1785.0
0.3,Sohna,5403.0,555.0,2,2,2,6.0,New Property,0,0,0,0,0,0,109,655.0,655.0,555.0
0.78,Sector 37C,5714.0,1365.0,2,2,3,1.0,Moderately Old,0,0,0,0,0,1,103,1365.0,1365.0,900.0
2.0,Sector 43,15151.0,1320.0,3,3,2,1.0,Old Property,1,0,0,0,0,2,15,,,1320.0
0.74,Sohna,6200.0,1194.0,2,2,3+,12.0,New Property,0,0,0,0,0,0,67,,,1210.0
3.2,Sector 106,16000.0,2000.0,3,3,3+,6.0,Under Construction,1,0,0,0,0,0,49,,,2002.0
1.3,Sector 82,6378.0,2038.0,4,4,3+,1.0,Relatively New,1,0,0,0,0,0,130,1960.0,1960.0,
0.25,Ashok Vihar Phase 3 Extension,3571.0,700.0,2,2,2,2.0,Relatively New,0,0,0,0,0,0,0,,,700.0
0.95,Sohna,7846.0,1211.0,3,2,3+,1.0,Relatively New,0,0,0,0,0,0,46,,1210.73,756.6
1.99,Sector 90,7297.0,2727.0,4,4,3+,9.0,Relatively New,1,0,1,0,0,1,102,,,2727.0
1.05,Sector 106,7581.0,1385.0,2,2,2,5.0,New Property,0,0,0,0,0,0,97,,,1385.0
1.83,Sector 85,10005.0,1829.0,3,3,3+,18.0,Under Construction,0,0,0,0,0,0,110,,,1829.0
2.25,Sector 82A,10714.0,2100.0,3,3,3+,29.0,Relatively New,1,0,0,0,0,2,72,,,2100.0
2.8,Sector 65,16969.0,1650.0,3,3,3+,3.0,Relatively New,1,1,0,0,0,1,38,,,1650.0
1.6,DLF Phase 4,14545.0,1100.0,2,2,2,3.0,Relatively New,0,0,0,0,0,0,52,,,1100.0
0.83,Sector 79,5424.0,1530.0,2,2,3,5.0,New Property,0,1,0,0,0,2,49,,,1530.0
0.83,Sohna,7410.0,1120.0,3,2,2,1.0,New Property,0,0,0,0,0,0,16,,,1120.0
0.8,Sector 10A,6400.0,1250.0,2,3,2,9.0,New Property,0,0,0,0,0,0,46,,,1250.0
1.25,Sector 1A IMT Manesar,4715.0,2651.0,4,4,3+,6.0,Moderately Old,0,0,0,0,0,1,44,,,2651.0
0.23,Block A Surya Vihar,5000.0,460.0,1,1,1,2.0,Relatively New,0,0,0,0,0,0,9,,,460.0
0.3,Sector 84,6666.0,450.0,1,1,1,14.0,New Property,0,0,0,0,0,1,22,,,450.0
1.55,Sector 33,9872.0,1570.0,3,4,1,1.0,Relatively New,1,0,0,0,0,0,37,1570.0,1570.0,
0.79,Sector 71,6594.0,1198.0,2,2,2,8.0,Relatively New,0,0,0,0,1,0,0,1198.0,1198.0,
0.5,Sector-7 Hous,5555.0,900.0,2,2,2,2.0,Moderately Old,0,0,0,1,0,0,0,900.0,900.0,750.0
1.01,Sohna,7000.0,1443.0,2,2,3,12.0,Under Construction,0,1,0,0,0,0,80,1450.0,1450.0,950.0
0.95,Sector 92,5007.0,1897.0,4,5,3+,4.0,Moderately Old,1,0,0,0,0,0,37,1897.0,1897.0,
0.99,Sector 77,7857.0,1260.0,2,2,2,1.0,Relatively New,0,0,0,0,0,0,97,1260.0,1260.0,1000.0
1.1,Sector 37D,6376.0,1725.0,3,3,3+,7.0,Under Construction,0,0,0,0,0,0,109,1725.0,1725.0,
1.9,Sector 67A,8863.0,2144.0,4,4,3,3.0,New Property,0,0,0,0,0,1,62,2200.0,2200.0,
1.0,Sector 37C,4320.0,2315.0,3,3,3+,5.0,Under Construction,0,0,0,0,0,0,51,1875.0,1875.0,
2.5,Sector 57,11111.0,2250.0,3,3,3,9.0,Moderately Old,0,0,0,0,0,0,0,2250.0,2250.0,
1.1,Sector 3,10410.0,1057.0,2,2,2,14.0,Under Construction,0,0,0,0,0,0,0,1056.58,1056.58,
0.29,Sector 95,5178.0,560.0,2,2,2,14.0,Relatively New,0,0,0,0,0,0,50,560.0,560.0,
0.55,Sector 95,5556.0,990.0,2,2,3,15.0,Undefined,0,0,0,0,0,0,0,,990.0,950.0
0.65,Sector 92,4744.0,1370.0,3,2,3,6.0,Relatively New,0,0,0,0,0,0,49,1370.0,1370.0,
0.5,Sohna,9406.0,532.0,2,2,2,6.0,New Property,0,0,0,0,0,0,37,,,531.57
0.32,Sector 99A,5521.0,580.0,2,2,1,2.0,New Property,0,0,0,0,0,0,43,575.0,575.0,570.17
0.93,Sector 103,6404.0,1452.0,2,3,3,3.0,Relatively New,1,0,0,0,0,1,90,,,1452.0
1.2,Sector 89,8432.0,1423.0,3,3,2,2.0,New Property,0,0,0,0,0,0,44,,,1423.0
0.3,Sohna,4687.0,640.0,2,2,2,4.0,Relatively New,0,0,0,0,0,0,42,,,640.0
0.56,Sohna,6812.0,822.0,2,2,3,3.0,New Property,0,0,0,0,0,0,111,,,822.0
2.7,Sector 49,12505.0,2159.0,3,4,3+,6.0,Moderately Old,0,0,0,0,0,0,0,2159.0,2159.0,
1.0,Sector 90,5128.0,1950.0,3,4,3,8.0,New Property,1,0,0,0,0,0,95,1950.0,1950.0,
1.45,Sector 30,11153.0,1300.0,3,2,2,2.0,Old Property,0,0,0,0,0,2,75,,1300.0,1090.0
1.25,Sector 89,8784.0,1423.0,3,3,0,4.0,Undefined,0,0,0,0,0,0,0,,1423.0,1190.0
4.5,Sector 66,10599.0,4246.0,5,5,3+,11.0,New Property,1,0,0,0,0,0,105,3670.0,3670.0,
0.64,Sector 15 Part 1,6500.0,985.0,2,2,1,1.0,New Property,0,0,0,0,0,0,0,1000.0,1000.0,
0.28,Sohna,3768.0,743.0,2,2,1,11.0,Relatively New,0,0,0,0,0,0,38,,743.0,643.0
3.87,Sector 61,17200.0,2250.0,3,4,3+,21.0,Under Construction,1,0,0,0,0,0,58,2250.0,2250.0,1249.65
1.38,Sector 109,6338.0,2177.0,3,3,1,4.0,Moderately Old,0,0,0,0,0,0,20,,,2177.0
0.43,Laxman Vihar,6615.0,650.0,2,2,1,2.0,Relatively New,0,0,0,0,0,0,7,,,650.0
